Date,Action,Ticker,Shares,Price,Total
2025-12-27,Buy,NKE,200.0,5.0,1000.0
2025-12-27,Sell,TSLA,50.0,5.0,250.0
2025-12-27,Buy,NKE,50.0,5.0,250.0
2025-12-27,Buy,NKE,5.0,50.0,250.0
2025-12-27,Buy,NKE,50.0,50.0,2500.0
2025-12-27,Buy,NKE,50.0,50.0,2500.0
2025-12-27,Buy,NKE,50.0,50.0,2500.0
2025-12-27,Sell,NKE,50.0,50.0,2500.0
2025-12-27,Buy,NKE,50.0,100.0,5000.0
2025-12-27,Buy,NKE,50.0,100.0,5000.0
2025-12-27,Buy,NKE,50.0,110.0,5500.0
2025-12-27,Sell,NKE,60.0,120.0,7200.0
2025-12-27,Buy,AAPL,10.0,150.0,1500.0
2025-12-27,Buy,AAPL,5.0,160.0,800.0
2025-12-27,Sell,AAPL,6.0,170.0,1020.0
2025-12-27,Buy,AMZN,100.0,150.0,15000.0
